level,u,v,weight
0,0,1,4.00000000000000000e0
0,0,5,1.19999999999999996e0
0,1,2,3.00000000000000000e0
0,1,4,8.00000000000000044e-1
0,2,3,2.00000000000000000e0
0,2,6,4.00000000000000022e-1
0,3,4,1.00000000000000000e0
0,4,5,2.50000000000000000e0
0,4,8,2.50000000000000000e-1
0,6,7,4.00000000000000000e0
0,6,11,1.19999999999999996e0
0,7,8,3.00000000000000000e0
0,7,10,8.00000000000000044e-1
0,8,9,2.00000000000000000e0
0,9,10,1.00000000000000000e0
0,10,11,2.50000000000000000e0
1,0,1,3.00000000000000000e0
1,0,2,4.00000000000000022e-1
1,1,2,2.50000000000000000e-1
1,2,3,3.00000000000000000e0
2,0,1,6.50000000000000022e-1
