vertex,x_true,rhs,x_pcg
V1,-6.62773137232655851e-1,-1.48578495047267500e0,-6.62773137192239181e-1
V2,-1.25955145402472768e-1,2.59883367958532574e0,-1.25955144655205797e-1
V3,-6.69290681206227145e-2,1.28422289764995901e0,-6.69290640131214448e-2
V4,-4.17565556947359973e-1,-2.07083459060682262e-1,-4.17565559767736905e-1
V5,-9.11755075540152227e-1,-6.93126321971686110e-1,-9.11755081598315642e-1
V6,-1.21401231793937026e0,-1.41713012284610285e0,-1.21401232092539901e0
V7,-1.08160828849795831e0,-6.10875023986695886e0,-1.08160828690829658e0
V8,-4.81875460183160964e-1,-1.95575063648375580e0,-4.81875457093318471e-1
V9,3.92004785527030331e-1,1.30286600970806354e0,3.92004792515237510e-1
V10,1.21436213187168351e0,1.17465076897868648e0,1.21436213105837032e0
V11,1.68442605558230318e0,2.23496758307190646e0,1.68442605158571146e0
V12,1.67168107688273682e0,3.27208479170791922e0,1.67168107699431356e0
