,F1,W1,W2,W3,F2,F3,F4,W4,W5,W6,W7,W8
F1,7.31100000000000000e3,-1.00000000000000000e0,-1.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,-1.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0
W1,-1.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
W2,-1.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
W3,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
F2,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,4.80000000000000000e1,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,-1.00000000000000000e0
F3,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,6.36000000000000000e2,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
F4,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,6.80000000000000000e1,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
W4,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
W5,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
W6,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0
W7,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0,0.00000000000000000e0
W8,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,0.00000000000000000e0,2.00000000000000000e0
