,F1,W1,W2,W3,F2,F3,F4,W4,W5,W6,W7,W8
F1,1.87504822921220502e-3,1.67954682572181218e-3,1.41403987525584801e-3,1.44404073857306203e-3,1.39164562449533213e-3,3.17047675084059389e-4,4.43275907352865775e-4,1.57718131264030317e-3,1.67954682572181218e-3,1.76676398586620071e-3,1.24740287537537711e-3,1.67954682572181327e-3
W1,1.67954682572180264e-3,3.80359963965393011e-1,1.31001201155466710e-3,1.33418189824667608e-3,1.72171282118765701e-2,2.98065615597150322e-4,4.01249086684959727e-4,1.54412251587698695e-3,5.35996396539303345e-3,1.63942521964103682e-3,1.26545431039546095e-2,5.35996396539303605e-3
W2,1.41403987525587187e-3,1.31001201155470180e-3,3.76705308666614946e-1,1.16519662798474110e-3,1.10314955445206639e-3,2.78892113633090379e-3,5.26639129378064872e-4,1.22664862766738258e-3,1.31001201155470180e-3,1.37386175642953434e-3,9.83826660237303559e-4,1.31001201155470331e-3
W3,1.44404073857307873e-3,1.33418189824670384e-3,1.16519662798473395e-3,3.79978119931393854e-1,1.11095042029053228e-3,4.18854834061274986e-4,1.66217030673063773e-2,1.25249379536326627e-3,1.33418189824670384e-3,1.40384480471674963e-3,9.92183251987551482e-4,1.33418189824670535e-3
F2,1.39164562449533061e-3,1.72171282118765631e-2,1.10314955445204059e-3,1.11095042029051320e-3,6.33155539044567423e-2,2.79754910971414302e-4,3.18274536985840460e-4,1.51144971133870018e-3,1.72171282118765631e-2,1.36788237917539004e-3,4.37992491124146871e-2,1.72171282118765735e-2
F3,3.17047675084074568e-4,2.98065615597182848e-4,2.78892113633087387e-3,4.18854834061275420e-4,2.79754910971445961e-4,1.03180398125464080e-2,7.92223036559231873e-4,2.71217229267228712e-4,2.98065615597182848e-4,2.92957203606958815e-4,2.34593003253230539e-4,2.98065615597186968e-4
F4,4.43275907352864637e-4,4.01249086684975177e-4,5.26639129378040911e-4,1.66217030673063565e-2,3.18274536985854121e-4,7.92223036559213550e-4,6.54946718543030909e-2,3.80051554196788135e-4,4.01249086684975177e-4,4.19130439807786524e-4,2.74289629079622638e-4,4.01249086684979514e-4
W4,1.57718131264028821e-3,1.54412251587698196e-3,1.22664862766734290e-3,1.25249379536323375e-3,1.51144971133868392e-3,2.71217229267192717e-4,3.80051554196769541e-4,3.77541267159292870e-1,1.54412251587698196e-3,1.53703463065545522e-3,2.51158594035548119e-3,1.54412251587698304e-3
W5,1.67954682572180264e-3,5.35996396539303345e-3,1.31001201155466710e-3,1.33418189824667608e-3,1.72171282118765701e-2,2.98065615597150322e-4,4.01249086684959727e-4,1.54412251587698695e-3,3.80359963965393011e-1,1.63942521964103682e-3,1.26545431039546095e-2,5.35996396539303605e-3
W6,1.76676398586619009e-3,1.63942521964103530e-3,1.37386175642949856e-3,1.40384480471672079e-3,1.36788237917537638e-3,2.92957203606924337e-4,4.19130439807769122e-4,1.53703463065545912e-3,1.63942521964103530e-3,3.97560008359320372e-1,1.22348076263625611e-3,1.63942521964103639e-3
W7,1.24740287537544780e-3,1.26545431039546807e-2,9.83826660237349312e-4,9.92183251987604174e-4,4.37992491124147565e-2,2.34593003253271196e-4,2.74289629079681998e-4,2.51158594035556966e-3,1.26545431039546807e-2,1.22348076263634176e-3,4.11753332115616932e-1,1.26545431039546876e-2
W8,1.67954682572180264e-3,5.35996396539303345e-3,1.31001201155466710e-3,1.33418189824667608e-3,1.72171282118765701e-2,2.98065615597150322e-4,4.01249086684959727e-4,1.54412251587698695e-3,5.35996396539303345e-3,1.63942521964103682e-3,1.26545431039546095e-2,3.80359963965393066e-1
